time,energy
44.728,69302.22525547793
44.727900000000005,69302.19685465339
44.7278,69302.16845382887
44.7277,69302.14005300433
44.7276,69302.1116521798
44.7275,69302.08325135527
44.7274,69302.05485053074
44.7273,69302.0264497062
44.7272,69301.99812384577
44.7271,69301.96979798534
44.727000000000004,69301.9414721249
44.7269,69301.91314626447
44.726800000000004,69301.88482040404
44.7267,69301.8564945436
44.726600000000005,69301.82816868316
44.7265,69301.79984282273
44.726400000000005,69301.7715921278
44.7263,69301.74334143287
44.7262,69301.71509073794
44.7261,69301.686840043
44.726,69301.65858934807
44.7259,69301.63033865314
44.7258,69301.6020879582
44.7257,69301.57383726328
44.7256,69301.54566193579
44.725500000000004,69301.51748660828
44.7254,69301.48931128078
44.725300000000004,69301.46113595329
44.7252,69301.43296062578
44.725100000000005,69301.40478529829
44.725,69301.37660997079
44.724900000000005,69301.3484346433
44.7248,69301.3203348857
44.724700000000006,69301.29223512814
44.7246,69301.26413537057
44.7245,69301.236035613
44.7244,69301.20793585543
44.7243,69301.17983609786
44.7242,69301.15173634028
44.7241,69301.12363658272
44.724000000000004,69301.09561259809
44.7239,69301.06758861344
44.723800000000004,69301.03956462881
44.7237,69301.01154064418
44.723600000000005,69300.98351665954
44.7235,69300.95549267491
44.723400000000005,69300.92746869028
44.7233,69300.89944470563
44.723200000000006,69300.87149669752
44.7231,69300.8435486894
44.723,69300.8156006813
44.7229,69300.78765267317
44.7228,69300.75970466505
44.7227,69300.73175665694
44.7226,69300.70380864882
44.722500000000004,69300.67586064071
44.7224,69300.64798881322
44.722300000000004,69300.62011698572
44.7222,69300.59224515822
44.722100000000005,69300.56437333074
44.722,69300.53650150323
44.721900000000005,69300.50862967574
44.7218,69300.48075784824
44.721700000000006,69300.45288602075
44.7216,69300.42509057856
44.7215,69300.39729513635
44.7214,69300.36949969416
44.7213,69300.34170425197
44.7212,69300.31390880978
44.7211,69300.28611336759
44.721000000000004,69300.2583179254
44.7209,69300.23052248321
44.720800000000004,69300.20280363152
44.7207,69300.17508477984
44.720600000000005,69300.14736592816
44.7205,69300.11964707647
44.720400000000005,69300.0919282248
44.7203,69300.06420937311
44.720200000000006,69300.03649052144
44.7201,69300.00877166976
44.72,69299.98112961436
44.7199,69299.95348755895
44.7198,69299.92584550355
44.7197,69299.89820344813
44.7196,69299.87056139272
44.719500000000004,69299.8429193373
44.7194,69299.8152772819
44.719300000000004,69299.78763522649
44.7192,69299.76007017368
44.719100000000005,69299.73250512088
44.719,69299.70494006807
44.718900000000005,69299.67737501526
44.7188,69299.64980996246
44.718700000000005,69299.62224490964
44.7186,69299.59467985683
44.7185,69299.56711480403
44.7184,69299.53962696069
44.7183,69299.51213911735
44.7182,69299.48465127402
44.7181,69299.45716343068
44.718,69299.42967558734
44.7179,69299.40218774401
44.717800000000004,69299.37469990067
44.7177,69299.34721205733
44.717600000000004,69299.3198016309
44.7175,69299.29239120446
44.717400000000005,69299.26498077803
44.7173,69299.23757035157
44.717200000000005,69299.21015992513
44.7171,69299.1827494987
44.717,69299.15533907225
44.7169,69299.12792864582
44.7168,69299.10059584425
44.7167,69299.07326304271
44.7166,69299.04593024116
44.7165,69299.01859743962
44.7164,69298.99126463805
44.716300000000004,69298.96393183651
44.7162,69298.93659903496
44.716100000000004,69298.90926623342
44.716,69298.88201126529
44.715900000000005,69298.85475629718
44.7158,69298.82750132905
44.715700000000005,69298.80024636094
44.7156,69298.77299139282
44.7155,69298.7457364247
44.7154,69298.71848145658
44.7153,69298.69122648846
44.7152,69298.66404956288
44.7151,69298.63687263729
44.715,69298.6096957117
44.7149,69298.5825187861
44.714800000000004,69298.55534186053
44.7147,69298.52816493493
44.714600000000004,69298.50098800936
44.7145,69298.47381108376
44.714400000000005,69298.44671241038
44.7143,69298.419613737
44.714200000000005,69298.39251506364
44.7141,69298.36541639025
44.714,69298.33831771687
44.7139,69298.3112190435
44.7138,69298.28412037012
44.7137,69298.25702169676
44.7136,69298.23000148582
44.7135,69298.20298127487
44.7134,69298.17596106391
44.713300000000004,69298.14894085297
44.7132,69298.12192064202
44.713100000000004,69298.09490043108
44.713,69298.06788022013
44.712900000000005,69298.04086000918
44.7128,69298.01391847146
44.712700000000005,69297.98697693375
44.7126,69297.96003539606
44.712500000000006,69297.93309385834
44.7124,69297.90615232063
44.7123,69297.87921078294
44.7122,69297.85226924522
44.7121,69297.82532770751
44.712,69297.7984650544
44.7119,69297.77160240128
44.711800000000004,69297.74473974816
44.7117,69297.71787709504
44.711600000000004,69297.69101444192
44.7115,69297.6641517888
44.711400000000005,69297.63728913569
44.7113,69297.61042648256
44.711200000000005,69297.58364292597
44.7111,69297.55685936936
44.711000000000006,69297.53007581277
44.7109,69297.50329225617
44.7108,69297.47650869956
44.7107,69297.44972514297
44.7106,69297.42294158637
44.7105,69297.39615802978
44.7104,69297.36945378219
44.710300000000004,69297.34274953463
44.7102,69297.31604528705
44.710100000000004,69297.28934103949
44.71,69297.26263679191
44.709900000000005,69297.23593254434
44.7098,69297.20922829676
44.709700000000005,69297.1825240492
44.7096,69297.15589932373
44.709500000000006,69297.12927459825
44.7094,69297.10264987277
44.7093,69297.07602514728
44.7092,69297.0494004218
44.7091,69297.02277569633
44.709,69296.99615097085
44.7089,69296.96952624538
44.708800000000004,69296.94298125562
44.7087,69296.91643626586
44.708600000000004,69296.88989127612
44.7085,69296.86334628637
44.708400000000005,69296.83680129662
44.7083,69296.81025630687
44.708200000000005,69296.78371131711
44.7081,69296.75716632737
44.708000000000006,69296.73070128758
44.7079,69296.70423624778
