stage,instruction,frequency,time,energy
0,forward,1740,0.11248032760620108,33.59392799949646
0,backward,1740,0.27707920932769775,80.19105599927903
0,forward,1725,0.11299247074127194,33.589223999977115
0,backward,1725,0.2793463439941405,81.31845599985122
0,forward,1710,0.11347790908813475,33.94238399934768
0,backward,1710,0.27984399318695063,81.4064160003662
0,forward,1695,0.11421623039245596,33.97911600065231
0,backward,1695,0.2789520807266235,81.33728399991989
0,forward,1680,0.11477471351623536,34.00194000005722
0,backward,1680,0.2808372745513915,81.45608399963379
0,forward,1665,0.11413220500946042,33.99564000034333
0,backward,1665,0.2806296529769897,81.73048799943925
0,forward,1650,0.11429043388366691,33.9988920006752
0,backward,1650,0.28082129287719726,81.88899599933625
0,forward,1635,0.11404302406311036,33.99852000045776
0,backward,1635,0.28100492477416994,82.04608799886702
0,forward,1620,0.11439509296417236,34.01162400054932
0,backward,1620,0.28021536254882806,81.552984000206
0,forward,1605,0.11408710670471182,33.99761999988556
0,backward,1605,0.2801504287719726,81.35646000051499
0,forward,1590,0.11421823596954335,34.33863599967957
0,backward,1590,0.281282509803772,82.06048799943923
0,forward,1575,0.11431071281433096,33.99559200096131
0,backward,1575,0.2805569143295287,81.19238399934768
0,forward,1560,0.11417245674133296,33.98265600013733
0,backward,1560,0.28024059677124025,81.57164399957658
0,forward,1545,0.11409989833831777,33.97803600025177
0,backward,1545,0.2823703079223633,80.87265600013731
0,forward,1530,0.11391094493865958,33.97691999959945
0,backward,1530,0.2805953464508056,80.77373999977112
0,forward,1515,0.11438161754608152,33.975156000137325
0,backward,1515,0.2810175275802612,80.710523999691
0,forward,1500,0.11422580051422115,34.01116799926758
0,backward,1500,0.2807025718688964,80.3410679998398
0,forward,1485,0.11403213214874268,34.00197600030899
0,backward,1485,0.27921051120758056,79.26827999925612
0,forward,1470,0.11417819309234616,33.96392400026321
0,backward,1470,0.27791114330291744,78.39284399986268
0,forward,1455,0.11378781509399412,33.81732000017166
0,backward,1455,0.2779754390716552,77.14672800064086
0,forward,1440,0.11406719970703114,33.489168000698086
0,backward,1440,0.27870686244964593,76.70357999897003
0,forward,1425,0.11434769725799557,33.18017999982834
0,backward,1425,0.2786797914505005,75.57118799972535
0,forward,1410,0.11509215545654292,32.922611999988554
0,backward,1410,0.2797705135345458,75.16242000102997
0,forward,1395,0.11532572650909416,32.46933599996567
0,backward,1395,0.2800531425476074,74.10409199953078
0,forward,1380,0.11607431030273437,32.15713200044631
0,backward,1380,0.28108214664459225,73.63953599882126
0,forward,1365,0.11679778575897215,31.610639998912813
0,backward,1365,0.2821797094345092,72.87661199998855
0,forward,1350,0.11769273948669431,31.335455999851227
0,backward,1350,0.2829417314529419,72.12832800006866
0,forward,1335,0.11849670124053949,30.85934399986267
0,backward,1335,0.28483027267456046,70.88597999954223
0,forward,1320,0.11941240024566649,30.3915
0,backward,1320,0.2862513256072998,70.5788760008812
0,forward,1305,0.12027912139892569,30.06356399917603
0,backward,1305,0.28787848949432365,70.02391199970245
0,forward,1290,0.12122963619232174,29.960892000675205
0,backward,1290,0.28981830596923824,69.12017999982834
0,forward,1275,0.1222103462219238,29.381723999977112
0,backward,1275,0.2917524919509887,68.5847760000229
0,forward,1260,0.12324287509918212,29.505504000663755
0,backward,1260,0.29313286399841304,67.90784399986266
0,forward,1245,0.1241543712615966,29.115563999176032
0,backward,1245,0.29488811588287356,67.08146400117874
0,forward,1230,0.1251949996948242,29.29455599927902
0,backward,1230,0.2968680295944214,67.12391999959945
0,forward,1215,0.12623519325256344,28.716012000560767
0,backward,1215,0.2984206781387329,66.67645199918746
0,forward,1200,0.1273907318115234,28.49110800075531
0,backward,1200,0.3004002742767334,65.91604800081254
0,forward,1185,0.1285152654647826,28.319567999839784
0,backward,1185,0.30188701343536384,65.5153919992447
0,forward,1170,0.12959400558471673,27.985559999942787
0,backward,1170,0.3036472864151,64.78765200090409
0,forward,1155,0.13079879093170163,27.708347999095917
0,backward,1155,0.3056318349838257,64.05108000040055
0,forward,1140,0.13205505180358884,27.585047999382017
0,backward,1140,0.30791850471496574,63.894503999233244
0,forward,1125,0.13339484024047848,27.490127999782565
0,backward,1125,0.30985944271087645,63.486000000000004
0,forward,1110,0.13464839172363277,27.513107999324795
0,backward,1110,0.31215279865264894,63.542351999759674
0,forward,1095,0.13600665664672848,27.270372000217442
0,backward,1095,0.3150484800338744,63.00851999902725
0,forward,1080,0.13730580997467037,27.427187999725344
0,backward,1080,0.31691607570648195,63.10365600013732
0,forward,1065,0.13861315727233886,27.51560400009155
0,backward,1065,0.31912154388427727,63.04715999937058
0,forward,1050,0.13934794807434073,27.167424000263214
0,backward,1050,0.32004933071136465,62.563019999027254
0,forward,1035,0.14069914054870597,27.396432000160225
0,backward,1035,0.32183637714385976,63.44771999931336
0,forward,1020,0.14233327102661125,27.69541199970245
0,backward,1020,0.3236490468978881,62.66889599990844
0,forward,1005,0.14403985691070553,27.74737200021744
0,backward,1005,0.3244614486694336,62.80794000005723
0,forward,990,0.1457670392990112,27.779412001132965
0,backward,990,0.3240948629379272,62.221559999942784
0,forward,975,0.14758188056945795,27.896484000205994
0,backward,975,0.31635678577423093,60.49294799995422
0,forward,960,0.14945971012115472,28.084283999919894
0,backward,960,0.3052985544204711,58.3513079996109
0,forward,945,0.15143104648590083,28.03899600076675
0,backward,945,0.3089808969497681,57.72373199987412
0,forward,930,0.15338927650451653,28.30729199981689
0,backward,930,0.31281448173522947,58.21327199935913
0,forward,915,0.15545930099487298,28.57153200101852
0,backward,915,0.31677435207366944,58.122047999382005
0,forward,900,0.15763066577911367,28.726283999919893
0,backward,900,0.32093723487854003,58.4216760005951
0,forward,885,0.15976738357543946,28.72126800012588
0,backward,885,0.3251605653762818,58.67878799915313
0,forward,870,0.1620638580322265,28.813199998855588
0,backward,870,0.32949398231506344,58.73808000040053
0,forward,855,0.16440509605407708,29.052935999393462
0,backward,855,0.3340355215072632,59.44288800001145
1,forward,1740,0.11248032760620108,33.59392799949646
1,backward,1740,0.27707920932769775,80.19105599927903
1,forward,1725,0.11299247074127194,33.589223999977115
1,backward,1725,0.2793463439941405,81.31845599985122
1,forward,1710,0.11347790908813475,33.94238399934768
1,backward,1710,0.27984399318695063,81.4064160003662
1,forward,1695,0.11421623039245596,33.97911600065231
1,backward,1695,0.2789520807266235,81.33728399991989
1,forward,1680,0.11477471351623536,34.00194000005722
1,backward,1680,0.2808372745513915,81.45608399963379
1,forward,1665,0.11413220500946042,33.99564000034333
1,backward,1665,0.2806296529769897,81.73048799943925
1,forward,1650,0.11429043388366691,33.9988920006752
1,backward,1650,0.28082129287719726,81.88899599933625
1,forward,1635,0.11404302406311036,33.99852000045776
1,backward,1635,0.28100492477416994,82.04608799886702
1,forward,1620,0.11439509296417236,34.01162400054932
1,backward,1620,0.28021536254882806,81.552984000206
1,forward,1605,0.11408710670471182,33.99761999988556
1,backward,1605,0.2801504287719726,81.35646000051499
1,forward,1590,0.11421823596954335,34.33863599967957
1,backward,1590,0.281282509803772,82.06048799943923
1,forward,1575,0.11431071281433096,33.99559200096131
1,backward,1575,0.2805569143295287,81.19238399934768
1,forward,1560,0.11417245674133296,33.98265600013733
1,backward,1560,0.28024059677124025,81.57164399957658
1,forward,1545,0.11409989833831777,33.97803600025177
1,backward,1545,0.2823703079223633,80.87265600013731
1,forward,1530,0.11391094493865958,33.97691999959945
1,backward,1530,0.2805953464508056,80.77373999977112
1,forward,1515,0.11438161754608152,33.975156000137325
1,backward,1515,0.2810175275802612,80.710523999691
1,forward,1500,0.11422580051422115,34.01116799926758
1,backward,1500,0.2807025718688964,80.3410679998398
1,forward,1485,0.11403213214874268,34.00197600030899
1,backward,1485,0.27921051120758056,79.26827999925612
1,forward,1470,0.11417819309234616,33.96392400026321
1,backward,1470,0.27791114330291744,78.39284399986268
1,forward,1455,0.11378781509399412,33.81732000017166
1,backward,1455,0.2779754390716552,77.14672800064086
1,forward,1440,0.11406719970703114,33.489168000698086
1,backward,1440,0.27870686244964593,76.70357999897003
1,forward,1425,0.11434769725799557,33.18017999982834
1,backward,1425,0.2786797914505005,75.57118799972535
1,forward,1410,0.11509215545654292,32.922611999988554
1,backward,1410,0.2797705135345458,75.16242000102997
1,forward,1395,0.11532572650909416,32.46933599996567
1,backward,1395,0.2800531425476074,74.10409199953078
1,forward,1380,0.11607431030273437,32.15713200044631
1,backward,1380,0.28108214664459225,73.63953599882126
1,forward,1365,0.11679778575897215,31.610639998912813
1,backward,1365,0.2821797094345092,72.87661199998855
1,forward,1350,0.11769273948669431,31.335455999851227
1,backward,1350,0.2829417314529419,72.12832800006866
1,forward,1335,0.11849670124053949,30.85934399986267
1,backward,1335,0.28483027267456046,70.88597999954223
1,forward,1320,0.11941240024566649,30.3915
1,backward,1320,0.2862513256072998,70.5788760008812
1,forward,1305,0.12027912139892569,30.06356399917603
1,backward,1305,0.28787848949432365,70.02391199970245
1,forward,1290,0.12122963619232174,29.960892000675205
1,backward,1290,0.28981830596923824,69.12017999982834
1,forward,1275,0.1222103462219238,29.381723999977112
1,backward,1275,0.2917524919509887,68.5847760000229
1,forward,1260,0.12324287509918212,29.505504000663755
1,backward,1260,0.29313286399841304,67.90784399986266
1,forward,1245,0.1241543712615966,29.115563999176032
1,backward,1245,0.29488811588287356,67.08146400117874
1,forward,1230,0.1251949996948242,29.29455599927902
1,backward,1230,0.2968680295944214,67.12391999959945
1,forward,1215,0.12623519325256344,28.716012000560767
1,backward,1215,0.2984206781387329,66.67645199918746
1,forward,1200,0.1273907318115234,28.49110800075531
1,backward,1200,0.3004002742767334,65.91604800081254
1,forward,1185,0.1285152654647826,28.319567999839784
1,backward,1185,0.30188701343536384,65.5153919992447
1,forward,1170,0.12959400558471673,27.985559999942787
1,backward,1170,0.3036472864151,64.78765200090409
1,forward,1155,0.13079879093170163,27.708347999095917
1,backward,1155,0.3056318349838257,64.05108000040055
1,forward,1140,0.13205505180358884,27.585047999382017
1,backward,1140,0.30791850471496574,63.894503999233244
1,forward,1125,0.13339484024047848,27.490127999782565
1,backward,1125,0.30985944271087645,63.486000000000004
1,forward,1110,0.13464839172363277,27.513107999324795
1,backward,1110,0.31215279865264894,63.542351999759674
1,forward,1095,0.13600665664672848,27.270372000217442
1,backward,1095,0.3150484800338744,63.00851999902725
1,forward,1080,0.13730580997467037,27.427187999725344
1,backward,1080,0.31691607570648195,63.10365600013732
1,forward,1065,0.13861315727233886,27.51560400009155
1,backward,1065,0.31912154388427727,63.04715999937058
1,forward,1050,0.13934794807434073,27.167424000263214
1,backward,1050,0.32004933071136465,62.563019999027254
1,forward,1035,0.14069914054870597,27.396432000160225
1,backward,1035,0.32183637714385976,63.44771999931336
1,forward,1020,0.14233327102661125,27.69541199970245
1,backward,1020,0.3236490468978881,62.66889599990844
1,forward,1005,0.14403985691070553,27.74737200021744
1,backward,1005,0.3244614486694336,62.80794000005723
1,forward,990,0.1457670392990112,27.779412001132965
1,backward,990,0.3240948629379272,62.221559999942784
1,forward,975,0.14758188056945795,27.896484000205994
1,backward,975,0.31635678577423093,60.49294799995422
1,forward,960,0.14945971012115472,28.084283999919894
1,backward,960,0.3052985544204711,58.3513079996109
1,forward,945,0.15143104648590083,28.03899600076675
1,backward,945,0.3089808969497681,57.72373199987412
1,forward,930,0.15338927650451653,28.30729199981689
1,backward,930,0.31281448173522947,58.21327199935913
1,forward,915,0.15545930099487298,28.57153200101852
1,backward,915,0.31677435207366944,58.122047999382005
1,forward,900,0.15763066577911367,28.726283999919893
1,backward,900,0.32093723487854003,58.4216760005951
1,forward,885,0.15976738357543946,28.72126800012588
1,backward,885,0.3251605653762818,58.67878799915313
1,forward,870,0.1620638580322265,28.813199998855588
1,backward,870,0.32949398231506344,58.73808000040053
1,forward,855,0.16440509605407708,29.052935999393462
1,backward,855,0.3340355215072632,59.44288800001145
2,forward,1740,0.11248032760620108,33.59392799949646
2,backward,1740,0.27707920932769775,80.19105599927903
2,forward,1725,0.11299247074127194,33.589223999977115
2,backward,1725,0.2793463439941405,81.31845599985122
2,forward,1710,0.11347790908813475,33.94238399934768
2,backward,1710,0.27984399318695063,81.4064160003662
2,forward,1695,0.11421623039245596,33.97911600065231
2,backward,1695,0.2789520807266235,81.33728399991989
2,forward,1680,0.11477471351623536,34.00194000005722
2,backward,1680,0.2808372745513915,81.45608399963379
2,forward,1665,0.11413220500946042,33.99564000034333
2,backward,1665,0.2806296529769897,81.73048799943925
2,forward,1650,0.11429043388366691,33.9988920006752
2,backward,1650,0.28082129287719726,81.88899599933625
2,forward,1635,0.11404302406311036,33.99852000045776
2,backward,1635,0.28100492477416994,82.04608799886702
2,forward,1620,0.11439509296417236,34.01162400054932
2,backward,1620,0.28021536254882806,81.552984000206
2,forward,1605,0.11408710670471182,33.99761999988556
2,backward,1605,0.2801504287719726,81.35646000051499
2,forward,1590,0.11421823596954335,34.33863599967957
2,backward,1590,0.281282509803772,82.06048799943923
2,forward,1575,0.11431071281433096,33.99559200096131
2,backward,1575,0.2805569143295287,81.19238399934768
2,forward,1560,0.11417245674133296,33.98265600013733
2,backward,1560,0.28024059677124025,81.57164399957658
2,forward,1545,0.11409989833831777,33.97803600025177
2,backward,1545,0.2823703079223633,80.87265600013731
2,forward,1530,0.11391094493865958,33.97691999959945
2,backward,1530,0.2805953464508056,80.77373999977112
2,forward,1515,0.11438161754608152,33.975156000137325
2,backward,1515,0.2810175275802612,80.710523999691
2,forward,1500,0.11422580051422115,34.01116799926758
2,backward,1500,0.2807025718688964,80.3410679998398
2,forward,1485,0.11403213214874268,34.00197600030899
2,backward,1485,0.27921051120758056,79.26827999925612
2,forward,1470,0.11417819309234616,33.96392400026321
2,backward,1470,0.27791114330291744,78.39284399986268
2,forward,1455,0.11378781509399412,33.81732000017166
2,backward,1455,0.2779754390716552,77.14672800064086
2,forward,1440,0.11406719970703114,33.489168000698086
2,backward,1440,0.27870686244964593,76.70357999897003
2,forward,1425,0.11434769725799557,33.18017999982834
2,backward,1425,0.2786797914505005,75.57118799972535
2,forward,1410,0.11509215545654292,32.922611999988554
2,backward,1410,0.2797705135345458,75.16242000102997
2,forward,1395,0.11532572650909416,32.46933599996567
2,backward,1395,0.2800531425476074,74.10409199953078
2,forward,1380,0.11607431030273437,32.15713200044631
2,backward,1380,0.28108214664459225,73.63953599882126
2,forward,1365,0.11679778575897215,31.610639998912813
2,backward,1365,0.2821797094345092,72.87661199998855
2,forward,1350,0.11769273948669431,31.335455999851227
2,backward,1350,0.2829417314529419,72.12832800006866
2,forward,1335,0.11849670124053949,30.85934399986267
2,backward,1335,0.28483027267456046,70.88597999954223
2,forward,1320,0.11941240024566649,30.3915
2,backward,1320,0.2862513256072998,70.5788760008812
2,forward,1305,0.12027912139892569,30.06356399917603
2,backward,1305,0.28787848949432365,70.02391199970245
2,forward,1290,0.12122963619232174,29.960892000675205
2,backward,1290,0.28981830596923824,69.12017999982834
2,forward,1275,0.1222103462219238,29.381723999977112
2,backward,1275,0.2917524919509887,68.5847760000229
2,forward,1260,0.12324287509918212,29.505504000663755
2,backward,1260,0.29313286399841304,67.90784399986266
2,forward,1245,0.1241543712615966,29.115563999176032
2,backward,1245,0.29488811588287356,67.08146400117874
2,forward,1230,0.1251949996948242,29.29455599927902
2,backward,1230,0.2968680295944214,67.12391999959945
2,forward,1215,0.12623519325256344,28.716012000560767
2,backward,1215,0.2984206781387329,66.67645199918746
2,forward,1200,0.1273907318115234,28.49110800075531
2,backward,1200,0.3004002742767334,65.91604800081254
2,forward,1185,0.1285152654647826,28.319567999839784
2,backward,1185,0.30188701343536384,65.5153919992447
2,forward,1170,0.12959400558471673,27.985559999942787
2,backward,1170,0.3036472864151,64.78765200090409
2,forward,1155,0.13079879093170163,27.708347999095917
2,backward,1155,0.3056318349838257,64.05108000040055
2,forward,1140,0.13205505180358884,27.585047999382017
2,backward,1140,0.30791850471496574,63.894503999233244
2,forward,1125,0.13339484024047848,27.490127999782565
2,backward,1125,0.30985944271087645,63.486000000000004
2,forward,1110,0.13464839172363277,27.513107999324795
2,backward,1110,0.31215279865264894,63.542351999759674
2,forward,1095,0.13600665664672848,27.270372000217442
2,backward,1095,0.3150484800338744,63.00851999902725
2,forward,1080,0.13730580997467037,27.427187999725344
2,backward,1080,0.31691607570648195,63.10365600013732
2,forward,1065,0.13861315727233886,27.51560400009155
2,backward,1065,0.31912154388427727,63.04715999937058
2,forward,1050,0.13934794807434073,27.167424000263214
2,backward,1050,0.32004933071136465,62.563019999027254
2,forward,1035,0.14069914054870597,27.396432000160225
2,backward,1035,0.32183637714385976,63.44771999931336
2,forward,1020,0.14233327102661125,27.69541199970245
2,backward,1020,0.3236490468978881,62.66889599990844
2,forward,1005,0.14403985691070553,27.74737200021744
2,backward,1005,0.3244614486694336,62.80794000005723
2,forward,990,0.1457670392990112,27.779412001132965
2,backward,990,0.3240948629379272,62.221559999942784
2,forward,975,0.14758188056945795,27.896484000205994
2,backward,975,0.31635678577423093,60.49294799995422
2,forward,960,0.14945971012115472,28.084283999919894
2,backward,960,0.3052985544204711,58.3513079996109
2,forward,945,0.15143104648590083,28.03899600076675
2,backward,945,0.3089808969497681,57.72373199987412
2,forward,930,0.15338927650451653,28.30729199981689
2,backward,930,0.31281448173522947,58.21327199935913
2,forward,915,0.15545930099487298,28.57153200101852
2,backward,915,0.31677435207366944,58.122047999382005
2,forward,900,0.15763066577911367,28.726283999919893
2,backward,900,0.32093723487854003,58.4216760005951
2,forward,885,0.15976738357543946,28.72126800012588
2,backward,885,0.3251605653762818,58.67878799915313
2,forward,870,0.1620638580322265,28.813199998855588
2,backward,870,0.32949398231506344,58.73808000040053
2,forward,855,0.16440509605407708,29.052935999393462
2,backward,855,0.3340355215072632,59.44288800001145
3,forward,1740,0.11248032760620108,33.59392799949646
3,backward,1740,0.27707920932769775,80.19105599927903
3,forward,1725,0.11299247074127194,33.589223999977115
3,backward,1725,0.2793463439941405,81.31845599985122
3,forward,1710,0.11347790908813475,33.94238399934768
3,backward,1710,0.27984399318695063,81.4064160003662
3,forward,1695,0.11421623039245596,33.97911600065231
3,backward,1695,0.2789520807266235,81.33728399991989
3,forward,1680,0.11477471351623536,34.00194000005722
3,backward,1680,0.2808372745513915,81.45608399963379
3,forward,1665,0.11413220500946042,33.99564000034333
3,backward,1665,0.2806296529769897,81.73048799943925
3,forward,1650,0.11429043388366691,33.9988920006752
3,backward,1650,0.28082129287719726,81.88899599933625
3,forward,1635,0.11404302406311036,33.99852000045776
3,backward,1635,0.28100492477416994,82.04608799886702
3,forward,1620,0.11439509296417236,34.01162400054932
3,backward,1620,0.28021536254882806,81.552984000206
3,forward,1605,0.11408710670471182,33.99761999988556
3,backward,1605,0.2801504287719726,81.35646000051499
3,forward,1590,0.11421823596954335,34.33863599967957
3,backward,1590,0.281282509803772,82.06048799943923
3,forward,1575,0.11431071281433096,33.99559200096131
3,backward,1575,0.2805569143295287,81.19238399934768
3,forward,1560,0.11417245674133296,33.98265600013733
3,backward,1560,0.28024059677124025,81.57164399957658
3,forward,1545,0.11409989833831777,33.97803600025177
3,backward,1545,0.2823703079223633,80.87265600013731
3,forward,1530,0.11391094493865958,33.97691999959945
3,backward,1530,0.2805953464508056,80.77373999977112
3,forward,1515,0.11438161754608152,33.975156000137325
3,backward,1515,0.2810175275802612,80.710523999691
3,forward,1500,0.11422580051422115,34.01116799926758
3,backward,1500,0.2807025718688964,80.3410679998398
3,forward,1485,0.11403213214874268,34.00197600030899
3,backward,1485,0.27921051120758056,79.26827999925612
3,forward,1470,0.11417819309234616,33.96392400026321
3,backward,1470,0.27791114330291744,78.39284399986268
3,forward,1455,0.11378781509399412,33.81732000017166
3,backward,1455,0.2779754390716552,77.14672800064086
3,forward,1440,0.11406719970703114,33.489168000698086
3,backward,1440,0.27870686244964593,76.70357999897003
3,forward,1425,0.11434769725799557,33.18017999982834
3,backward,1425,0.2786797914505005,75.57118799972535
3,forward,1410,0.11509215545654292,32.922611999988554
3,backward,1410,0.2797705135345458,75.16242000102997
3,forward,1395,0.11532572650909416,32.46933599996567
3,backward,1395,0.2800531425476074,74.10409199953078
3,forward,1380,0.11607431030273437,32.15713200044631
3,backward,1380,0.28108214664459225,73.63953599882126
3,forward,1365,0.11679778575897215,31.610639998912813
3,backward,1365,0.2821797094345092,72.87661199998855
3,forward,1350,0.11769273948669431,31.335455999851227
3,backward,1350,0.2829417314529419,72.12832800006866
