dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
imagenet,resnet50,64,adadelta,250,6482.97,164.16828676362687
imagenet,resnet50,8,adadelta,125,11713.245,115.49472793927761
imagenet,resnet50,8,adadelta,150,11133.155,131.92037254722655
imagenet,resnet50,8,adadelta,175,10913.735,147.1210775116262
imagenet,resnet50,8,adadelta,200,10877.47,153.55235814152255
imagenet,resnet50,8,adadelta,225,10857.92,156.12892226364363
imagenet,resnet50,8,adadelta,250,10809.18,151.77521106508047
librispeech,deepspeech2,12,adamw,125,46620.945,89.27256461691333
librispeech,deepspeech2,12,adamw,150,45564.83500000001,92.73479030489614
librispeech,deepspeech2,12,adamw,175,44675.240000000005,99.40383495095337
librispeech,deepspeech2,12,adamw,200,44046.17,103.73422680096246
librispeech,deepspeech2,12,adamw,225,44030.71000000001,106.8241198879138
librispeech,deepspeech2,12,adamw,250,43973.28,106.29526923745246
librispeech,deepspeech2,16,adamw,125,37886.435,90.50531461413902
librispeech,deepspeech2,16,adamw,150,36963.985,94.61652273231356
librispeech,deepspeech2,16,adamw,175,36263.100000000006,101.0540069041874
librispeech,deepspeech2,16,adamw,200,35559.225,105.27885646140865
librispeech,deepspeech2,16,adamw,225,35393.25,111.14452081471038
librispeech,deepspeech2,16,adamw,250,35827.82,109.47556583503739
librispeech,deepspeech2,24,adamw,125,29495.065000000002,93.53141850842577
librispeech,deepspeech2,24,adamw,150,28675.795,96.51947206218337
librispeech,deepspeech2,24,adamw,175,28167.79,103.4843642171524
librispeech,deepspeech2,24,adamw,200,27439.244999999995,108.68663669194468
librispeech,deepspeech2,24,adamw,225,27195.97,116.04067917228669
librispeech,deepspeech2,24,adamw,250,27178.315,117.81169014284957
librispeech,deepspeech2,32,adamw,125,25540.03,96.16127501439851
librispeech,deepspeech2,32,adamw,150,24617.005,99.4945125832131
librispeech,deepspeech2,32,adamw,175,24092.579999999998,106.93615640666863
librispeech,deepspeech2,32,adamw,200,23654.2,110.71185645258599
librispeech,deepspeech2,32,adamw,225,23286.550000000003,118.01065641657475
librispeech,deepspeech2,32,adamw,250,23247.824999999997,122.14900933077429
librispeech,deepspeech2,48,adamw,125,22811.61,103.67856788143088
librispeech,deepspeech2,48,adamw,150,21595.335,108.81772669273052
librispeech,deepspeech2,48,adamw,175,21064.895,117.80943899222817
librispeech,deepspeech2,48,adamw,200,20633.475,121.15566173903727
librispeech,deepspeech2,48,adamw,225,20334.535,129.30487431040513
librispeech,deepspeech2,48,adamw,250,20194.775,133.38690122512998
librispeech,deepspeech2,56,adamw,125,22156.28,103.50754105679646
librispeech,deepspeech2,56,adamw,150,20812.8,110.57263152252304
librispeech,deepspeech2,56,adamw,175,20291.245000000003,118.57719361836368
librispeech,deepspeech2,56,adamw,200,19866.22,123.17539935987021
librispeech,deepspeech2,56,adamw,225,19603.23,130.0039047761683
librispeech,deepspeech2,56,adamw,250,19484.34,132.57119831638218
librispeech,deepspeech2,64,adamw,125,21649.885000000002,103.36298777608167
librispeech,deepspeech2,64,adamw,150,20233.57,111.54201549205685
librispeech,deepspeech2,64,adamw,175,19687.525,121.39546859068923
librispeech,deepspeech2,64,adamw,200,19284.1,125.74742190972945
librispeech,deepspeech2,64,adamw,225,19002.685,132.57115853946476
librispeech,deepspeech2,64,adamw,250,18893.78,134.93457703295272
librispeech,deepspeech2,72,adamw,125,22267.885000000002,103.49560991733416
librispeech,deepspeech2,72,adamw,150,20470.025,113.79175022817259
librispeech,deepspeech2,72,adamw,175,19938.605,123.33609603418574
librispeech,deepspeech2,72,adamw,200,19515.895,127.23560289691204
librispeech,deepspeech2,72,adamw,225,19253.0,134.54891141676984
librispeech,deepspeech2,72,adamw,250,19146.58,136.58454078252868
librispeech,deepspeech2,8,adamw,125,64009.14,86.94379894086056
librispeech,deepspeech2,8,adamw,150,62237.915,92.39767563774092
librispeech,deepspeech2,8,adamw,175,61460.19,98.3207389146239
librispeech,deepspeech2,8,adamw,200,61190.795,100.90677302042658
