dataset,network,batch_size,optimizer,learning_rate,run,target_metric,target_epoch
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.25,6
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.3,9
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.35,11
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.4,14
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.45,17
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.5,23
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.55,29
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.6,70
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,4,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.05,2
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.1,2
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.15,5
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.2,5
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.25,7
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.3,9
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.35,10
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.4,13
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.45,17
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.5,22
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.55,28
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.6,80
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,5,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.05,2
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.1,2
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.15,4
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.2,6
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.25,7
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.3,9
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.35,11
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.4,13
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.45,17
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.5,22
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.55,30
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.6,77
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,6,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.05,2
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.1,3
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.15,4
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.2,5
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.25,7
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.3,9
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.35,12
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.4,15
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.45,17
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.5,25
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.55,32
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.6,97
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.8,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.85,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.9,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,7,0.95,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.05,1
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.1,2
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.15,4
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.2,5
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.25,6
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.3,8
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.35,10
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.4,13
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.45,16
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.5,22
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.55,31
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.6,77
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.65,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.7,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.75,nan
cifar100,shufflenetv2,1024,adadelta,1e-1,8,0.8,nan
