dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
cifar100,shufflenetv2,64,adadelta,100,31.85,98.07876597669869
cifar100,shufflenetv2,64,adadelta,125,32.455,113.95541151325675
cifar100,shufflenetv2,64,adadelta,150,32.205,116.09842707334434
cifar100,shufflenetv2,64,adadelta,175,31.07,117.75114823190654
cifar100,shufflenetv2,64,adadelta,200,30.83,118.78429808139724
cifar100,shufflenetv2,64,adadelta,225,33.065,116.97831970513191
cifar100,shufflenetv2,64,adadelta,250,32.97,112.06029240517992
cifar100,shufflenetv2,64,adadelta,275,31.599999999999998,119.62367943375112
cifar100,shufflenetv2,64,adadelta,300,33.165,116.58479655847987
cifar100,shufflenetv2,8,adadelta,100,212.635,89.99526183349883
cifar100,shufflenetv2,8,adadelta,125,221.655,88.97706184333497
cifar100,shufflenetv2,8,adadelta,150,229.385,91.6161000758087
cifar100,shufflenetv2,8,adadelta,175,213.99,90.31254671133846
cifar100,shufflenetv2,8,adadelta,200,226.35500000000002,90.57734008286593
cifar100,shufflenetv2,8,adadelta,225,214.71,91.50806592230511
cifar100,shufflenetv2,8,adadelta,250,222.59,92.21155314708898
cifar100,shufflenetv2,8,adadelta,275,237.345,88.31933339398982
cifar100,shufflenetv2,8,adadelta,300,232.05,88.87622985850757
cifar100,shufflenetv2,8192,adadelta,100,28.86,114.70531459824969
cifar100,shufflenetv2,8192,adadelta,125,23.49,117.50824658083641
cifar100,shufflenetv2,8192,adadelta,150,16.18,130.9305814570017
cifar100,shufflenetv2,8192,adadelta,175,12.469999999999999,138.64294469989701
cifar100,shufflenetv2,8192,adadelta,200,11.785,152.8076570172822
cifar100,shufflenetv2,8192,adadelta,225,11.125,169.32307434055852
cifar100,shufflenetv2,8192,adadelta,250,11.43,178.1530802911539
cifar100,shufflenetv2,8192,adadelta,275,10.995000000000001,191.5357443254395
cifar100,shufflenetv2,8192,adadelta,300,11.085,196.52554410981296
imagenet,resnet50,128,adadelta,100,11009.39,114.70916054489874
imagenet,resnet50,128,adadelta,125,9375.09,125.06183716668464
imagenet,resnet50,128,adadelta,150,6147.46,144.2607231260645
imagenet,resnet50,128,adadelta,175,4463.24,160.86341752430866
imagenet,resnet50,128,adadelta,200,3992.39,179.22631615034337
imagenet,resnet50,128,adadelta,225,3862.42,198.38104893564224
imagenet,resnet50,128,adadelta,250,3804.21,216.21927459289037
imagenet,resnet50,128,adadelta,275,3777.29,230.7632940180274
imagenet,resnet50,128,adadelta,300,3739.5,244.26058546458663
imagenet,resnet50,16,adadelta,100,15368.07,101.60290945388566
imagenet,resnet50,16,adadelta,125,9543.76,123.75639006690054
imagenet,resnet50,16,adadelta,150,6511.16,145.28441954695336
imagenet,resnet50,16,adadelta,175,5128.31,167.32034197457278
imagenet,resnet50,16,adadelta,200,5169.08,187.81811824840455
imagenet,resnet50,16,adadelta,225,4982.719999999999,205.5398797731667
imagenet,resnet50,16,adadelta,250,4947.5,224.61477746114616
imagenet,resnet50,16,adadelta,275,4753.4,236.01302570035372
imagenet,resnet50,16,adadelta,300,4917.59,240.98606928640612
imagenet,resnet50,192,adadelta,100,11198.95,116.63087520008567
imagenet,resnet50,192,adadelta,125,8983.51,124.66652201206473
imagenet,resnet50,192,adadelta,150,6291.6,144.31827373452634
imagenet,resnet50,192,adadelta,175,4524.21,159.5421826556965
imagenet,resnet50,192,adadelta,200,4038.7799999999997,178.72180643526735
imagenet,resnet50,192,adadelta,225,3879.2,196.50230819939472
imagenet,resnet50,192,adadelta,250,3821.15,216.63873580759912
imagenet,resnet50,192,adadelta,275,3798.56,231.9707775105132
imagenet,resnet50,192,adadelta,300,3780.56,239.9016004802594
imagenet,resnet50,256,adadelta,100,10606.19,120.73848214417882
imagenet,resnet50,256,adadelta,125,9639.820000000002,125.50869907250417
imagenet,resnet50,256,adadelta,150,6326.84,144.60818674199163
imagenet,resnet50,256,adadelta,175,4705.61,160.22988166803555
imagenet,resnet50,256,adadelta,200,4123.5199999999995,177.58308264413765
imagenet,resnet50,256,adadelta,225,3909.47,196.40909673353005
imagenet,resnet50,256,adadelta,250,3864.98,214.62912367741592
imagenet,resnet50,256,adadelta,275,3857.81,230.8486691361474
imagenet,resnet50,256,adadelta,300,3847.48,235.20537892681747
imagenet,resnet50,32,adadelta,100,12444.34,108.58891921189661
imagenet,resnet50,32,adadelta,125,8933.7,124.51243964821929
imagenet,resnet50,32,adadelta,150,5904.33,144.27911444589023
imagenet,resnet50,32,adadelta,175,4843.12,163.42987358663913
imagenet,resnet50,32,adadelta,200,4506.12,182.31780112576527
imagenet,resnet50,32,adadelta,225,4292.75,203.47599835406743
imagenet,resnet50,32,adadelta,250,4382.51,220.68532111447524
imagenet,resnet50,32,adadelta,275,4259.68,234.96332005728144
imagenet,resnet50,32,adadelta,300,4158.03,242.68022506514316
imagenet,resnet50,360,adadelta,100,11454.42,116.23013210267082
imagenet,resnet50,360,adadelta,125,9615.17,124.7786896274223
imagenet,resnet50,360,adadelta,150,6570.58,143.0238684191406
imagenet,resnet50,360,adadelta,175,4872.73,158.28552939496606
imagenet,resnet50,360,adadelta,200,4227.15,175.83999190065705
imagenet,resnet50,360,adadelta,225,4058.07,194.35329930065416
imagenet,resnet50,360,adadelta,250,4003.6400000000003,212.30417109802974
imagenet,resnet50,360,adadelta,275,3981.91,225.4143083165314
imagenet,resnet50,360,adadelta,300,3941.05,230.86062530390996
imagenet,resnet50,512,adadelta,100,11983.87,119.02237572708351
imagenet,resnet50,512,adadelta,125,10710.98,125.21131035802362
imagenet,resnet50,512,adadelta,150,6801.75,142.1584990235349
imagenet,resnet50,512,adadelta,175,4824.91,157.4789195644217
imagenet,resnet50,512,adadelta,200,4463.71,175.17168142862334
imagenet,resnet50,512,adadelta,225,4211.38,192.65401961688815
imagenet,resnet50,512,adadelta,250,4145.46,208.3992627756042
imagenet,resnet50,512,adadelta,275,4132.7300000000005,222.63611881924305
imagenet,resnet50,512,adadelta,300,4121.5,233.84448348155246
imagenet,resnet50,64,adadelta,100,11052.93,116.75070850872028
imagenet,resnet50,64,adadelta,125,8540.949999999999,124.56167684733995
imagenet,resnet50,64,adadelta,150,5825.58,144.015142940677
imagenet,resnet50,64,adadelta,175,4671.599999999999,162.53387759616675
imagenet,resnet50,64,adadelta,200,4137.94,181.34099970709516
imagenet,resnet50,64,adadelta,225,3971.94,200.55031733342466
imagenet,resnet50,64,adadelta,250,3999.2,219.2567584873351
imagenet,resnet50,64,adadelta,275,3914.2200000000003,229.80993834046805
imagenet,resnet50,64,adadelta,300,3954.57,243.97788753968482
imagenet,resnet50,8,adadelta,100,16537.3,100.5878618795318
imagenet,resnet50,8,adadelta,125,9803.08,126.48735033876247
imagenet,resnet50,8,adadelta,150,6970.86,148.67083148564276
imagenet,resnet50,8,adadelta,175,6630.72,169.88444933379193
imagenet,resnet50,8,adadelta,200,5963.74,190.9490758680892
imagenet,resnet50,8,adadelta,225,5882.28,212.56976865709794
imagenet,resnet50,8,adadelta,250,6204.41,226.200792985134
imagenet,resnet50,8,adadelta,275,6167.339999999999,237.33103433506528
imagenet,resnet50,8,adadelta,300,5856.75,249.42131482232776
librispeech,deepspeech2,128,adamw,100,18594.585,108.82023468602453
librispeech,deepspeech2,128,adamw,125,13795.365,114.59420749180329
librispeech,deepspeech2,128,adamw,150,9285.599999999999,127.03516050734683
librispeech,deepspeech2,128,adamw,175,8159.764999999999,138.61096272886482
librispeech,deepspeech2,128,adamw,200,7528.105,150.92585876501505
librispeech,deepspeech2,128,adamw,225,7038.045,159.41050711858347
librispeech,deepspeech2,128,adamw,250,7005.46,161.02836069135193
librispeech,deepspeech2,128,adamw,275,7002.62,166.8591876529811
librispeech,deepspeech2,128,adamw,300,6903.875,172.83792838525596
librispeech,deepspeech2,16,adamw,100,21425.25,104.4511757926102
librispeech,deepspeech2,16,adamw,125,12954.17,117.03910023237336
librispeech,deepspeech2,16,adamw,150,8554.07,131.584887414704
librispeech,deepspeech2,16,adamw,175,6941.37,146.15240607443658
librispeech,deepspeech2,16,adamw,200,6693.155000000001,159.57752448127164
librispeech,deepspeech2,16,adamw,225,6593.9,172.1613954924401
librispeech,deepspeech2,16,adamw,250,6475.7,186.72865367810923
librispeech,deepspeech2,16,adamw,275,6496.02,188.06690969829612
librispeech,deepspeech2,16,adamw,300,6421.514999999999,188.2694200495306
librispeech,deepspeech2,192,adamw,100,24866.22,106.93418656945592
librispeech,deepspeech2,192,adamw,125,20707.22,115.89855916730042
librispeech,deepspeech2,192,adamw,150,13033.005000000001,128.54209623880246
librispeech,deepspeech2,192,adamw,175,11342.55,142.16791500024257
librispeech,deepspeech2,192,adamw,200,10628.144999999999,155.13141146987877
librispeech,deepspeech2,192,adamw,225,9923.82,161.73326089622705
librispeech,deepspeech2,192,adamw,250,9758.085,164.43189630222744
librispeech,deepspeech2,192,adamw,275,9692.810000000001,168.68111626933913
librispeech,deepspeech2,192,adamw,300,9730.145,167.79698403494987
librispeech,deepspeech2,32,adamw,100,16315.829999999998,103.01566301020628
librispeech,deepspeech2,32,adamw,125,10060.705000000002,113.93218184616056
librispeech,deepspeech2,32,adamw,150,6847.290000000001,126.9650565147875
librispeech,deepspeech2,32,adamw,175,5442.695,138.59161887774238
librispeech,deepspeech2,32,adamw,200,5311.9400000000005,150.63014402445282
librispeech,deepspeech2,32,adamw,225,5215.75,162.23937511378278
librispeech,deepspeech2,32,adamw,250,5135.1900000000005,168.6083911131669
librispeech,deepspeech2,32,adamw,275,5065.785,180.11469529650353
librispeech,deepspeech2,32,adamw,300,5135.950000000001,177.3514555933957
librispeech,deepspeech2,64,adamw,100,15301.645,105.247043916278
librispeech,deepspeech2,64,adamw,125,10625.83,113.47594291275692
librispeech,deepspeech2,64,adamw,150,6927.42,125.19646888758493
librispeech,deepspeech2,64,adamw,175,5589.34,136.22228979189165
librispeech,deepspeech2,64,adamw,200,5215.77,147.41146639292288
librispeech,deepspeech2,64,adamw,225,5072.13,157.21177459957033
librispeech,deepspeech2,64,adamw,250,5032.219999999999,165.5747795522837
librispeech,deepspeech2,64,adamw,275,5001.335,169.30906497867093
librispeech,deepspeech2,64,adamw,300,4995.155,177.0781620038544
librispeech,deepspeech2,8,adamw,100,34906.935,109.07080864240316
librispeech,deepspeech2,8,adamw,125,20731.955,119.59046174725529
librispeech,deepspeech2,8,adamw,150,12639.695,136.87975738021152
librispeech,deepspeech2,8,adamw,175,11485.075,153.33346534924988
librispeech,deepspeech2,8,adamw,200,10753.895,171.6337707884844
librispeech,deepspeech2,8,adamw,225,10662.825,187.7286687605746
librispeech,deepspeech2,8,adamw,250,10497.099999999999,201.4048396519113
librispeech,deepspeech2,8,adamw,275,10795.27,198.93651825106681
librispeech,deepspeech2,8,adamw,300,10553.189999999999,202.68681641749794
movielens-1m,ncf,1024,adam,100,20.668333333333333,83.42935697535918
movielens-1m,ncf,1024,adam,125,20.998333333333335,86.0350878786356
movielens-1m,ncf,1024,adam,150,20.39833333333333,83.65508430034829
movielens-1m,ncf,1024,adam,175,20.65833333333333,85.05556296640056
movielens-1m,ncf,1024,adam,200,19.143333333333334,84.61892786088946
movielens-1m,ncf,1024,adam,225,20.311666666666667,85.34377362050847
movielens-1m,ncf,1024,adam,250,20.965,84.9275345801283
movielens-1m,ncf,1024,adam,275,19.188333333333336,83.01203167545385
movielens-1m,ncf,1024,adam,300,20.33666666666667,83.59099802540861
movielens-1m,ncf,128,adam,100,108.305,88.91223376184492
movielens-1m,ncf,128,adam,125,114.68,89.43387258726854
movielens-1m,ncf,128,adam,150,128.89,86.25152809772088
movielens-1m,ncf,128,adam,175,118.16499999999999,87.6902301140467
movielens-1m,ncf,128,adam,200,120.66,88.73908009369585
movielens-1m,ncf,128,adam,225,117.1,87.84745380694179
movielens-1m,ncf,128,adam,250,111.62,90.84310513440802
movielens-1m,ncf,128,adam,275,114.335,88.60962603126157
movielens-1m,ncf,128,adam,300,115.285,89.35039181266863
movielens-1m,ncf,16,adam,100,821.815,89.7253954680735
movielens-1m,ncf,16,adam,125,893.0450000000001,89.02054498673837
movielens-1m,ncf,16,adam,150,870.475,91.35525873933138
movielens-1m,ncf,16,adam,175,834.12,91.43227585071538
movielens-1m,ncf,16,adam,200,834.39,91.31494302905423
movielens-1m,ncf,16,adam,225,835.505,90.04837636458898
movielens-1m,ncf,16,adam,250,875.18,90.06486211984323
movielens-1m,ncf,16,adam,275,904.225,87.89057185762731
movielens-1m,ncf,16,adam,300,864.335,89.34273922435575
movielens-1m,ncf,16384,adam,100,8.246,79.9314025667197
movielens-1m,ncf,16384,adam,125,9.365,79.94598094401884
movielens-1m,ncf,16384,adam,150,8.427,81.68280533262882
movielens-1m,ncf,16384,adam,175,8.803,80.69454510037619
movielens-1m,ncf,16384,adam,200,8.93,82.38148793798148
movielens-1m,ncf,16384,adam,225,8.422,80.89706689718192
movielens-1m,ncf,16384,adam,250,8.501,84.42676516389025
movielens-1m,ncf,16384,adam,275,8.401,82.3209503859445
movielens-1m,ncf,16384,adam,300,8.151,87.20312273438103
movielens-1m,ncf,2048,adam,100,13.758333333333333,81.99631716793664
movielens-1m,ncf,2048,adam,125,13.781666666666666,84.56913180483122
movielens-1m,ncf,2048,adam,150,13.198333333333336,83.37408077395206
movielens-1m,ncf,2048,adam,175,12.661666666666667,82.50913279395564
movielens-1m,ncf,2048,adam,200,13.06,81.59397242958563
movielens-1m,ncf,2048,adam,225,12.816666666666668,82.50086467996287
movielens-1m,ncf,2048,adam,250,13.56,81.88135955249037
movielens-1m,ncf,2048,adam,275,13.01,83.63628972263382
movielens-1m,ncf,2048,adam,300,14.068333333333333,84.1290846614596
movielens-1m,ncf,256,adam,100,60.78000000000001,88.57056496127218
movielens-1m,ncf,256,adam,125,57.945,86.38904431871887
movielens-1m,ncf,256,adam,150,64.34833333333334,86.06873438339419
movielens-1m,ncf,256,adam,175,59.98333333333334,89.29073293291914
movielens-1m,ncf,256,adam,200,64.32000000000001,86.28356277026316
movielens-1m,ncf,256,adam,225,66.55833333333334,87.06316506525998
movielens-1m,ncf,256,adam,250,59.45333333333334,87.57563570432589
movielens-1m,ncf,256,adam,275,67.36666666666666,87.26011369056893
movielens-1m,ncf,256,adam,300,68.44333333333333,87.83351364859749
movielens-1m,ncf,32,adam,100,436.27,88.98197044665022
movielens-1m,ncf,32,adam,125,438.985,91.25491763090172
movielens-1m,ncf,32,adam,150,419.755,90.61938516359808
movielens-1m,ncf,32,adam,175,420.59000000000003,89.88816159408086
movielens-1m,ncf,32,adam,200,436.13,88.11282160617624
movielens-1m,ncf,32,adam,225,478.45500000000004,89.6956796260232
movielens-1m,ncf,32,adam,250,434.175,88.96912801645486
movielens-1m,ncf,32,adam,275,473.99,89.33630724067865
movielens-1m,ncf,32,adam,300,434.81,89.1110869595661
movielens-1m,ncf,32768,adam,100,8.445000000000002,80.12311371122034
movielens-1m,ncf,32768,adam,125,8.215,82.59299946722155
movielens-1m,ncf,32768,adam,150,8.655000000000001,81.17130834524644
movielens-1m,ncf,32768,adam,175,8.334999999999999,84.16853335821843
movielens-1m,ncf,32768,adam,200,8.646,82.25691073594979
movielens-1m,ncf,32768,adam,225,8.346,83.06397779023649
movielens-1m,ncf,32768,adam,250,8.116,81.51718134076725
movielens-1m,ncf,32768,adam,275,8.239,85.09836983612591
movielens-1m,ncf,32768,adam,300,8.342,82.52385243391234
movielens-1m,ncf,4096,adam,100,10.403,82.82628094273876
movielens-1m,ncf,4096,adam,125,11.514,80.21861212491052
movielens-1m,ncf,4096,adam,150,10.651,82.57442527398743
movielens-1m,ncf,4096,adam,175,10.914000000000001,83.55364058284181
movielens-1m,ncf,4096,adam,200,10.33,81.68911404915225
movielens-1m,ncf,4096,adam,225,11.376,81.5622174938666
movielens-1m,ncf,4096,adam,250,10.401000000000002,84.59498482292759
movielens-1m,ncf,4096,adam,275,11.1,84.9605999097237
movielens-1m,ncf,4096,adam,300,10.468,83.06839776702269
movielens-1m,ncf,512,adam,100,35.056666666666665,84.50822614124044
movielens-1m,ncf,512,adam,125,33.74333333333333,84.96141167560287
movielens-1m,ncf,512,adam,150,36.824999999999996,87.12704403226783
movielens-1m,ncf,512,adam,175,33.778333333333336,85.19247974972839
movielens-1m,ncf,512,adam,200,35.51,86.1627686896682
movielens-1m,ncf,512,adam,225,33.33833333333333,85.81647130067743
movielens-1m,ncf,512,adam,250,33.28666666666667,87.20066575556538
movielens-1m,ncf,512,adam,275,35.638333333333335,86.39426739833142
movielens-1m,ncf,512,adam,300,33.171666666666674,84.4760005247695
movielens-1m,ncf,64,adam,100,224.45,90.7961575845484
movielens-1m,ncf,64,adam,125,218.89000000000001,89.12999878320667
movielens-1m,ncf,64,adam,150,232.08499999999998,89.41709051023183
movielens-1m,ncf,64,adam,175,208.21,88.10032211700458
movielens-1m,ncf,64,adam,200,220.305,90.34222113634263
movielens-1m,ncf,64,adam,225,223.79500000000002,88.51640497756662
movielens-1m,ncf,64,adam,250,230.645,89.38848495278837
movielens-1m,ncf,64,adam,275,236.005,88.06274896520496
movielens-1m,ncf,64,adam,300,223.595,90.9335887988001
movielens-1m,ncf,8,adam,100,1578.495,90.95498329881993
movielens-1m,ncf,8,adam,125,1684.5349999999999,89.37210702524648
movielens-1m,ncf,8,adam,150,1641.315,89.58734554212906
movielens-1m,ncf,8,adam,175,1678.6799999999998,91.80420751873103
movielens-1m,ncf,8,adam,200,1779.4050000000002,88.0876657582569
movielens-1m,ncf,8,adam,225,1784.375,89.92600728806967
movielens-1m,ncf,8,adam,250,1789.0700000000002,90.93125272381565
movielens-1m,ncf,8,adam,275,1704.59,89.8529189730235
movielens-1m,ncf,8,adam,300,1761.935,90.46344212161407
movielens-1m,ncf,8192,adam,100,9.253,82.1655820614955
movielens-1m,ncf,8192,adam,125,8.488999999999999,80.80185914230753
movielens-1m,ncf,8192,adam,150,8.461,81.88168875636717
movielens-1m,ncf,8192,adam,175,9.063999999999998,80.50199164728379
movielens-1m,ncf,8192,adam,200,8.767,82.56979412768132
movielens-1m,ncf,8192,adam,225,9.619000000000002,81.89119335198106
movielens-1m,ncf,8192,adam,250,8.738,85.32117339367093
movielens-1m,ncf,8192,adam,275,8.619,84.8893470931671
movielens-1m,ncf,8192,adam,300,9.877999999999998,84.62311469011372
squad,bert_base_uncased,12,adamw,100,3795.3900000000003,102.1702036562381
