time,energy
10.024000000000001,19410.13822365239
10.023,19409.70162258129
10.022,19409.265021510197
10.021,19408.8284204391
10.02,19408.391819368
10.019,19407.955218296902
10.018,19407.518617225804
10.017,19407.082016154705
10.016,19406.668886207997
10.015,19406.255756261293
10.014,19405.84262631458
10.013,19405.429496367877
10.012,19405.01636642117
10.011000000000001,19404.60323647446
10.01,19404.190106527753
10.009,19403.776976581044
10.008000000000001,19403.376216129825
10.007,19402.975455678603
10.006,19402.580525332003
10.005,19402.185594985403
10.004,19401.7906646388
10.003,19401.3957342922
10.002,19401.0008039456
10.001,19400.605873598997
10.0,19400.210943252398
9.999,19399.816012905798
9.998,19399.422383544792
9.997,19399.028754183782
9.996,19398.638076546784
9.995000000000001,19398.247398909785
9.994,19397.856721272783
9.993,19397.466043635784
9.992,19397.075365998782
9.991,19396.684688361784
9.99,19396.294010724785
9.989,19395.903333087786
9.988,19395.536942144598
9.987,19395.170551201416
9.986,19394.80429511552
9.985,19394.438039029625
9.984,19394.071782943727
9.983,19393.705526857833
9.982000000000001,19393.33927077194
9.981,19392.973014686042
9.98,19392.606758600148
9.979000000000001,19392.240502514254
9.978,19391.881299641274
9.977,19391.52209676829
9.976,19391.17630513724
9.975,19390.830513506182
9.974,19390.48472187513
9.973,19390.13893024408
9.972,19389.793138613022
9.971,19389.44734698197
9.97,19389.101555350917
9.969,19388.755763719862
9.968,19388.416071144195
9.967,19388.076378568523
9.966000000000001,19387.736685992855
9.965,19387.396993417184
9.964,19387.057300841516
9.963000000000001,19386.717608265848
9.962,19386.377915690176
9.961,19386.03822311451
9.96,19385.70176371661
9.959,19385.365304318708
9.958,19385.05409454049
9.957,19384.742884762272
9.956,19384.432085522345
9.955,19384.121286282418
9.954,19383.810487042494
9.953,19383.499687802563
9.952,19383.18888856264
9.951,19382.878089322712
9.950000000000001,19382.567290082785
9.949,19382.256490842858
9.948,19381.952922393655
9.947000000000001,19381.64935394445
9.946,19381.36150739102
9.945,19381.07366083759
9.944,19380.78581428416
9.943,19380.49796773073
9.942,19380.210121177304
9.941,19379.922274623874
9.94,19379.634428070443
9.939,19379.346581517017
9.938,19379.067209782086
9.937,19378.787838047156
9.936,19378.508466312225
9.935,19378.2290945773
9.934000000000001,19377.949722842368
9.933,19377.670351107437
9.932,19377.390979372507
9.931000000000001,19377.111607637577
9.93,19376.844182143766
9.929,19376.588397566968
9.928,19376.343209772556
9.927,19376.09802197814
9.926,19375.870312980092
9.925,19375.650796092665
9.924,19375.431279205233
9.923,19375.211762317802
9.922,19374.992245430367
9.921,19374.772728542936
9.92,19374.553211655508
9.919,19374.333694768076
9.918000000000001,19374.114177880645
9.917,19373.906172223004
9.916,19373.698166565362
9.915000000000001,19373.494084423168
9.914,19373.30230807439
9.913,19373.118242436958
9.912,19372.937631419154
9.911,19372.770069059567
9.91,19372.60250669998
9.909,19372.46356513399
9.908,19372.324623567994
9.907,19372.185682002004
9.906,19372.04674043601
9.905,19371.907798870016
9.904,19371.76885730402
9.903,19371.62991573803
9.902000000000001,19371.49097417204
9.901,19371.35203387873
9.9,19371.215926725265
9.899000000000001,19371.08123914156
9.898,19370.957667270406
9.897,19370.83409539925
9.896,19370.716239453992
9.895,19370.624173021497
9.894,19370.540766121918
9.893,19370.46504304563
9.892,19370.38931996934
9.891,19370.31771799169
9.89,19370.25646777902
9.889,19370.212541786863
9.888,19370.168615794708
9.887,19370.124689802553
9.886000000000001,19370.080763810398
9.885,19370.036837818243
9.884,19369.992911826084
9.883000000000001,19369.948985833933
9.882,19369.905059841774
9.881,19369.872571453554
9.88,19369.847075407906
9.879,19369.82339783627
9.878,19369.799720264633
9.877,19369.788284824113
9.876,19369.778880633683
9.875,19369.770945307864
9.874,19369.77115078436
9.873,19369.78195304324
9.872,19369.792755302118
9.871,19369.803557560997
9.870000000000001,19369.81435981988
9.869,19369.825162078756
9.868,19369.853598865466
9.867,19369.88653159221
9.866,19369.91946431895
9.865,19369.952718887536
9.864,19369.99085948034
9.863,19370.034816114356
9.862,19370.085549479307
9.861,19370.151648483028
9.86,19370.2197662173
9.859,19370.287883951565
9.858,19370.356001685832
9.857,19370.4241194201
9.856,19370.492237154365
9.855,19370.560354888632
9.854000000000001,19370.6284726229
9.853,19370.69659035717
9.852,19370.767027062528
9.851,19370.837463767886
9.85,19370.907900473245
9.849,19370.978337178603
9.848,19371.048773883962
9.847,19371.124152919452
9.846,19371.207499946126
9.845,19371.291739576045
9.844,19371.386247762643
9.843,19371.480755949244
9.842,19371.575614205707
9.841000000000001,19371.68368334347
9.84,19371.7947709088
9.839,19371.913569185468
9.838000000000001,19372.048818545565
9.837,19372.184120100083
9.836,19372.319421654604
9.835,19372.45472320912
9.834,19372.590024763642
9.833,19372.733779542934
9.832,19372.884094645367
9.831,19373.04557893641
9.83,19373.20706322745
9.829,19373.3689282922
9.828,19373.530793356942
9.827,19373.710746782508
9.826,19373.89513358546
9.825000000000001,19374.08004527054
9.824,19374.273365541405
9.823,19374.47360684367
9.822000000000001,19374.673848145936
9.821,19374.8740894482
9.82,19375.074330750464
9.819,19375.274572052727
9.818,19375.47481335499
9.817,19375.675054657255
9.816,19375.875295959522
9.815,19376.081151512695
9.814,19376.287007065872
9.813,19376.492862619045
9.812,19376.69871817222
9.811,19376.90951565383
9.81,19377.123226740816
9.809000000000001,19377.35756145923
9.808,19377.59189617764
9.807,19377.82664506656
9.806000000000001,19378.06139395548
9.805,19378.301019802046
9.804,19378.541484616864
9.803,19378.80244033247
9.802,19379.068616726385
9.801,19379.336793938048
9.8,19379.606145776725
9.799,19379.88105963722
9.798,19380.163657321005
9.797,19380.44625500479
9.796,19380.728852688575
9.795,19381.026454665473
9.794,19381.337893761945
9.793000000000001,19381.651468454267
9.792,19381.96549364305
9.791,19382.27951883183
9.790000000000001,19382.593544020616
9.789,19382.920008280547
9.788,19383.25137736933
9.787,19383.597029263892
9.786,19383.94997193288
9.785,19384.30601524011
9.784,19384.66205854734
9.783,19385.018101854563
9.782,19385.374145161793
9.781,19385.73018846902
9.78,19386.086231776248
9.779,19386.442275083475
9.778,19386.798318390705
9.777000000000001,19387.155578267553
9.776,19387.517719059604
9.775,19387.881971279025
9.774000000000001,19388.24804197246
9.773,19388.61411266589
9.772,19389.007528254002
9.771,19389.407292879463
9.77,19389.80754751341
9.769,19390.207802147364
9.768,19390.608056781315
9.767,19391.008311415266
9.766,19391.417750428758
9.765,19391.83994757105
9.764,19392.273652470136
9.763,19392.713851392276
9.762,19393.163242573115
9.761000000000001,19393.620107505445
9.76,19394.076972437775
9.759,19394.533837370105
9.758000000000001,19394.997123723577
9.757,19395.461227734566
9.756,19395.939107803344
9.755,19396.432582447855
9.754,19396.926096530926
9.753,19397.42014360003
9.752,19397.91419066913
9.751,19398.408237738233
9.75,19398.906791919675
9.749,19399.406046854834
9.748,19399.926490827518
9.747,19400.449769877294
9.746,19400.97698322338
9.745000000000001,19401.516750487797
9.744,19402.056517752215
9.743,19402.596285016636
9.742,19403.136052281054
9.741,19403.675819545475
9.74,19404.215586809893
9.739,19404.75535407431
9.738,19405.29512133873
9.737,19405.840317133414
9.736,19406.395939662376
9.735,19406.951562191334
9.734,19407.52162359144
9.733,19408.097772168483
9.732,19408.67834670612
9.731,19409.265705848196
9.73,19409.86119194218
9.729000000000001,19410.457257769194
9.728,19411.05332359621
9.727,19411.649389423226
9.726,19412.245455250246
9.725,19412.85508202842
9.724,19413.479255536273
9.723,19414.10558518673
9.722,19414.744233534395
9.721,19415.39962484187
9.72,19416.06774901611
9.719,19416.742574445452
9.718,19417.42620311235
9.717,19418.117148027835
9.716000000000001,19418.816419284933
9.715,19419.51705879022
9.714,19420.22346063
9.713000000000001,19420.93049304989
9.712,19421.63903408441
9.711,19422.36502765782
9.71,19423.104978272786
9.709,19423.85985948754
9.708,19424.61627667539
9.707,19425.372693863243
9.706,19426.129111051097
9.705,19426.88552823895
9.704,19427.6419454268
9.703,19428.40967946113
9.702,19429.178684183196
9.701,19429.950245387514
9.700000000000001,19430.74556442768
9.699,19431.552491147086
9.698,19432.361895794464
9.697000000000001,19433.17905344405
9.696,19434.00609919931
9.695,19434.84139672244
9.694,19435.68474591781
9.693,19436.530232712237
9.692,19437.393769730024
9.691,19438.2633703109
9.69,19439.140236581057
9.689,19440.036452421555
9.688,19440.93697172541
9.687,19441.842374946413
9.686,19442.76140693116
9.685,19443.68043891591
9.684000000000001,19444.624020528077
9.683,19445.572054080123
9.682,19446.522733309983
9.681000000000001,19447.47834405388
9.68,19448.43616237418
9.679,19449.394674876494
9.678,19450.35318737881
9.677,19451.311699881124
9.676,19452.27021238344
9.675,19453.228724885754
9.674,19454.18723738807
9.673,19455.145749890384
9.672,19456.104262392702
9.671,19457.062774895017
9.67,19458.021287397332
9.669,19458.979799899647
9.668000000000001,19459.938312401966
9.667,19460.896824904277
9.666,19461.855337406596
9.665000000000001,19462.81384990891
9.664,19463.772362411226
9.663,19464.73087491354
9.662,19465.68938741586
9.661,19466.64789991817
9.66,19467.60641242049
9.659,19468.564924922804
9.658,19469.52343742512
9.657,19470.481949927434
9.656,19471.440462429753
9.655,19472.398974932064
9.654,19473.357487434383
9.653,19474.315999936698
9.652000000000001,19475.274512439013
9.651,19476.233024941328
9.65,19477.191537443643
9.649000000000001,19478.150049945958
9.648,19479.108562448273
9.647,19480.067074950588
9.646,19481.025587452907
9.645,19481.98409995522
9.644,19482.961001405907
9.643,19483.942985032612
9.642,19484.92943489983
9.641,19485.918371016585
9.64,19486.90730713334
9.639,19487.91790875395
9.638,19488.93204902231
9.637,19489.960974897804
9.636000000000001,19490.996847798353
9.635,19492.032720698902
9.634,19493.06859359945
9.633000000000001,19494.106727218106
9.632,19495.145789659986
9.631,19496.20411487024
9.63,19497.2624400805
9.629,19498.325920424944
9.628,19499.390859434403
9.627,19500.457945734062
9.626,19501.527523519362
9.625,19502.614967512174
9.624,19503.714306760838
9.623,19504.818807845528
9.622,19505.93050102837
9.621,19507.051589055038
9.620000000000001,19508.17439942809
9.619,19509.297209801145
9.618,19510.4200201742
9.617,19511.542830547252
9.616,19512.665640920306
9.615,19513.78845129336
9.614,19514.911261666413
9.613,19516.034072039463
9.612,19517.156882412517
9.611,19518.27969278557
9.61,19519.402503158624
9.609,19520.525313531678
9.608,19521.64812390473
9.607,19522.77093427778
9.606,19523.893744650835
9.605,19525.01655502389
9.604000000000001,19526.139365396943
9.603,19527.262175769996
9.602,19528.38498614305
9.601,19529.507796516104
9.6,19530.630606889157
9.599,19531.753417262207
9.598,19532.87622763526
9.597,19533.99903800831
9.596,19535.12184838136
9.595,19536.244658754407
9.594,19537.367469127454
9.593,19538.4902795005
9.592,19539.613089873546
9.591000000000001,19540.735900246596
9.59,19541.858710619643
9.589,19542.98152099269
9.588000000000001,19544.104331365736
9.587,19545.227141738782
9.586,19546.362530834107
9.585,19547.50069227134
9.584,19548.64188339673
9.583,19549.79747129191
9.582,19550.956680865173
9.581,19552.121642137437
9.58,19553.30492052062
9.579,19554.489816298505
9.578,19555.675230277535
9.577,19556.866084534904
9.576,19558.05868184096
9.575000000000001,19559.254290614444
9.574,19560.46412614458
9.573,19561.673961674718
9.572000000000001,19562.883797204857
9.571,19564.09692760851
9.57,19565.313957019243
9.569,19566.53329489433
9.568,19567.76366381083
9.567,19568.995671784527
9.566,19570.24581358979
9.565,19571.49602116358
9.564,19572.746228737375
9.563,19573.996436311165
9.562,19575.24664388496
9.561,19576.496851458753
9.56,19577.747059032547
9.559000000000001,19578.997266606337
9.558,19580.247474180127
9.557,19581.49768175392
9.556000000000001,19582.747889327715
9.555,19583.99809690151
9.554,19585.2483044753
9.553,19586.498512049093
9.552,19587.748719622883
9.551,19588.998927196677
9.55,19590.24913477047
9.549,19591.49934234426
9.548,19592.74954991805
9.547,19593.999757491845
9.546,19595.24996506564
9.545,19596.500172639433
9.544,19597.75038021323
9.543000000000001,19599.00058778703
9.542,19600.250795360836
9.541,19601.501002934645
9.540000000000001,19602.751210508446
9.539,19604.001418082255
9.538,19605.25162565606
9.537,19606.501833229864
9.536,19607.75204080367
9.535,19609.002248377474
9.534,19610.25245595128
9.533,19611.505727472966
9.532,19612.76444046596
9.531,19614.026321500747
9.53,19615.293539912942
9.529,19616.56102476639
9.528,19617.834113723453
9.527000000000001,19619.114090264447
9.526,19620.39406680544
9.525,19621.674043346437
9.524000000000001,19622.954019887427
9.523,19624.233996428422
9.522,19625.513972969416
9.521,19626.79394951041
9.52,19628.073926051402
9.519,19629.3539025924
9.518,19630.63387913339
9.517,19631.913855674386
9.516,19633.19383221538
9.515,19634.473808756375
9.514,19635.75378529737
9.513,19637.033761838364
9.512,19638.31373837936
9.511000000000001,19639.593714920353
9.51,19640.873691461344
9.509,19642.153668002342
9.508000000000001,19643.433644543333
9.507,19644.713621084327
9.506,19645.993597625325
9.505,19647.273574166324
9.504,19648.553550707322
9.503,19649.833527248324
9.502,19651.113503789325
9.501,19652.393480330324
9.5,19653.673456871325
9.499,19654.953433412324
9.498,19656.233409953325
9.497,19657.513386494327
9.496,19658.793363035325
9.495000000000001,19660.073339576327
9.494,19661.359365958546
9.493,19662.646753212244
9.492,19663.937605967727
9.491,19665.24200405983
9.49,19666.55245119435
9.489,19667.897186969465
9.488,19669.245257937397
9.487,19670.608239668836
9.486,19671.982874146986
9.485,19673.357508625144
9.484,19674.732143103294
9.483,19676.114602421076
9.482,19677.502113451657
9.481,19678.896283555652
9.48,19680.29196986635
9.479000000000001,19681.70027611388
9.478,19683.112273275634
9.477,19684.536574740472
9.476,19685.964675699237
9.475,19687.395920475767
9.474,19688.83269311751
9.473,19690.283620516246
9.472,19691.734547914984
9.471,19693.185475313723
9.47,19694.63640271246
9.469,19696.087330111193
9.468,19697.53825750993
9.467,19698.989184908667
9.466000000000001,19700.440112307406
9.465,19701.891039706137
9.464,19703.341967104872
9.463000000000001,19704.792894503607
9.462,19706.24382190234
9.461,19707.694749301074
9.46,19709.14567669981
9.459,19710.59660409854
9.458,19712.047531497275
9.457,19713.498458896007
9.456,19714.949386294742
9.455,19716.400313693477
9.454,19717.85124109221
9.453,19719.302168490944
9.452,19720.753095889675
9.451,19722.20402328841
9.450000000000001,19723.654950687145
9.449,19725.10587808588
9.448,19726.556805484615
