time,energy
5.688,10653.491477053773
5.687,10653.053244655037
5.686,10652.615012256301
5.6850000000000005,10652.176779857564
5.684,10651.738547458826
5.683,10651.30031506009
5.682,10650.862082661355
5.681,10650.43896738306
5.68,10650.015852104763
5.679,10649.592736826467
5.678,10649.169621548172
5.6770000000000005,10648.746506269878
5.676,10648.323390991582
5.675,10647.900275713286
5.674,10647.492667166578
5.673,10647.08505861987
5.672,10646.677450073163
5.671,10646.269841526453
5.67,10645.862232979745
5.6690000000000005,10645.454624433038
5.668,10645.047015886328
5.667,10644.63940733962
5.666,10644.231798792913
5.665,10643.824190246203
5.664,10643.416581699496
5.663,10643.008973152788
5.662,10642.60136460608
5.6610000000000005,10642.193756059372
5.66,10641.786147512663
5.659,10641.378538965955
5.658,10640.970930419247
5.657,10640.563321872538
5.656,10640.15571332583
5.655,10639.748104779123
5.654,10639.340496232415
5.6530000000000005,10638.932887685707
5.652,10638.525279138998
5.651,10638.11767059229
5.65,10637.71636677011
5.649,10637.315062947928
5.648,10636.913759125748
5.647,10636.512455303566
5.646,10636.111151481386
5.6450000000000005,10635.709847659204
5.644,10635.308543837024
5.643,10634.907240014843
5.642,10634.505936192661
5.641,10634.104632370481
5.64,10633.703328548301
5.639,10633.302024726121
5.638,10632.900720903941
5.6370000000000005,10632.499417081759
5.636,10632.098113259577
5.635,10631.696809437397
5.634,10631.295505615217
5.633,10630.894201793037
5.632,10630.492897970857
5.631,10630.091594148675
5.63,10629.690290326495
5.6290000000000004,10629.288986504314
5.628,10628.887682682134
5.627,10628.486378859952
5.626,10628.085378168445
5.625,10627.684377476937
5.6240000000000006,10627.283376785428
5.623,10626.88237609392
5.622,10626.48137540241
5.621,10626.080374710902
5.62,10625.679374019393
5.619,10625.278775010946
5.618,10624.878176002496
5.617,10624.477576994048
5.6160000000000005,10624.0769779856
5.615,10623.67637897715
5.614,10623.275779968702
5.613,10622.875180960255
5.612,10622.495145543984
5.611,10622.115110127714
5.61,10621.735074711445
5.609,10621.355039295175
5.6080000000000005,10620.975003878906
5.607,10620.594968462636
5.606,10620.214933046365
5.605,10619.834897630095
5.604,10619.454862213825
5.603,10619.074826797554
5.602,10618.694791381284
5.601,10618.314755965013
5.6000000000000005,10617.934720548743
5.599,10617.554685132473
5.598,10617.174649716202
5.597,10616.794614299934
5.596,10616.414578883663
5.595,10616.034543467393
5.594,10615.654508051124
5.593,10615.274472634854
5.5920000000000005,10614.894437218583
5.591,10614.514401802313
5.59,10614.134366386043
5.589,10613.754330969774
5.588,10613.378309095715
5.587,10613.002287221654
5.586,10612.626265347595
5.585,10612.250243473536
5.5840000000000005,10611.874221599477
5.583,10611.498199725418
5.582,10611.122177851357
5.581,10610.752500094814
5.58,10610.382822338268
5.579,10610.013144581724
5.578,10609.64346682518
5.577,10609.273789068637
5.5760000000000005,10608.904111312091
5.575,10608.534433555547
5.574,10608.164755799004
5.573,10607.79507804246
5.572,10607.425400285914
5.571,10607.05572252937
5.57,10606.686044772827
5.569,10606.316367016283
5.5680000000000005,10605.946689259737
5.567,10605.577011503194
5.566,10605.20733374665
5.565,10604.837655990106
5.564,10604.467978233562
5.563,10604.098300477017
5.562,10603.728622720473
5.561,10603.35894496393
5.5600000000000005,10602.989267207384
5.559,10602.61958945084
5.558,10602.249911694296
5.557,10601.892146497206
5.556,10601.534381300116
5.555,10601.176616103028
5.554,10600.818850905938
5.553,10600.461085708848
5.5520000000000005,10600.10332051176
5.551,10599.74555531467
5.55,10599.388477317625
5.549,10599.03139932058
5.548,10598.674321323535
5.547,10598.317243326488
5.546,10597.960165329443
5.545,10597.603087332398
5.5440000000000005,10597.246009335353
5.543,10596.888931338308
5.542,10596.531853341261
5.541,10596.174775344218
5.54,10595.817697347173
5.539,10595.460619350128
5.538,10595.103541353083
5.537,10594.746463356038
