time,energy
5.632,10120.039771290678
5.631,10119.60317021958
5.63,10119.166569148481
5.6290000000000004,10118.729968077385
5.628,10118.293367006287
5.627,10117.856765935188
5.626,10117.420164864092
5.625,10116.983563792994
5.6240000000000006,10116.570433846287
5.623,10116.157303899581
5.622,10115.744173952873
5.621,10115.331044006167
5.62,10114.91791405946
5.619,10114.504784112753
5.618,10114.091654166046
5.617,10113.67852421934
5.6160000000000005,10113.27776376812
5.615,10112.877003316897
5.614,10112.482072970295
5.613,10112.087142623695
5.612,10111.692212277094
5.611,10111.297281930492
5.61,10110.902351583893
5.609,10110.507421237291
5.6080000000000005,10110.11249089069
5.607,10109.71756054409
5.606,10109.323931183082
5.605,10108.930301822074
5.604,10108.539624185074
5.603,10108.148946548074
5.602,10107.758268911071
5.601,10107.367591274071
5.6000000000000005,10106.97691363707
5.599,10106.58623600007
5.598,10106.19555836307
5.597,10105.804880726067
5.596,10105.438489782884
5.595,10105.0720988397
5.594,10104.705842753805
5.593,10104.33958666791
5.5920000000000005,10103.973330582015
5.591,10103.60707449612
5.59,10103.240818410224
5.589,10102.87456232433
5.588,10102.508306238433
5.587,10102.142050152539
5.586,10101.782847279559
5.585,10101.423644406577
5.5840000000000005,10101.077852775525
5.583,10100.73206114447
5.582,10100.386269513418
5.581,10100.040477882365
5.58,10099.69468625131
5.579,10099.348894620256
5.578,10099.003102989203
5.577,10098.65731135815
5.5760000000000005,10098.317618782481
5.575,10097.977926206811
5.574,10097.638233631142
5.573,10097.298541055474
5.572,10096.958848479804
5.571,10096.619155904134
5.57,10096.279463328465
5.569,10095.939770752797
5.5680000000000005,10095.603311354897
5.567,10095.266851956996
5.566,10094.955642178777
5.565,10094.644432400557
5.564,10094.33363316063
5.563,10094.022833920702
5.562,10093.712034680775
5.561,10093.40123544085
5.5600000000000005,10093.090436200922
5.559,10092.779636960995
5.558,10092.468837721068
5.557,10092.158038481142
5.556,10091.854470031938
5.555,10091.550901582734
5.554,10091.263055029305
5.553,10090.975208475877
5.5520000000000005,10090.687361922448
5.551,10090.399515369018
5.55,10090.111668815589
5.549,10089.82382226216
5.548,10089.535975708732
5.547,10089.248129155303
5.546,10088.968757420373
5.545,10088.689385685442
5.5440000000000005,10088.410013950514
5.543,10088.130642215583
5.542,10087.851270480653
5.541,10087.571898745722
5.54,10087.292527010793
5.539,10087.013155275863
5.538,10086.745729782051
5.537,10086.489945205256
5.5360000000000005,10086.244757410843
5.535,10085.99956961643
5.534,10085.77186061838
5.533,10085.55234373095
5.532,10085.332826843518
5.531,10085.113309956087
5.53,10084.893793068655
5.529,10084.674276181224
5.5280000000000005,10084.454759293794
5.527,10084.235242406361
5.526,10084.01572551893
5.525,10083.80771986129
5.524,10083.59971420365
5.523,10083.395632061454
5.522,10083.20385571268
5.521,10083.019790075243
5.5200000000000005,10082.839179057439
5.519,10082.671616697853
5.518,10082.504054338266
5.517,10082.365112772273
5.516,10082.226171206281
5.515,10082.087229640289
5.514,10081.948288074294
5.513,10081.809346508302
5.5120000000000005,10081.67040494231
5.511,10081.531463376316
5.51,10081.392521810323
5.509,10081.253581517016
5.508,10081.11747436355
5.507,10080.982786779843
5.506,10080.859214908687
5.505,10080.735643037533
5.5040000000000004,10080.617787092277
5.503,10080.52572065978
5.502,10080.442313760203
5.501,10080.366590683916
5.5,10080.290867607628
5.4990000000000006,10080.219265629974
5.498,10080.158015417304
5.497,10080.114089425148
5.496,10080.070163432993
5.495,10080.026237440838
5.494,10079.982311448683
5.493,10079.938385456528
5.492,10079.89445946437
5.4910000000000005,10079.850533472216
5.49,10079.80660748006
5.489,10079.774119091839
5.488,10079.748623046191
5.487,10079.724945474556
5.486,10079.701267902921
5.485,10079.689832462404
5.484,10079.680428271973
5.4830000000000005,10079.67249294615
5.482,10079.672698422648
5.481,10079.683500681527
5.48,10079.694302940408
5.479,10079.705105199288
5.478,10079.715907458167
5.477,10079.726709717048
5.476,10079.755146503754
5.4750000000000005,10079.788079230497
5.474,10079.82101195724
5.473,10079.854266525825
5.472,10079.892407118625
5.471,10079.936363752642
5.47,10079.987097117593
5.469,10080.053196121316
5.468,10080.121313855583
5.4670000000000005,10080.18943158985
5.466,10080.257549324118
5.465,10080.325667058385
5.464,10080.393784792654
5.463,10080.46190252692
5.462,10080.530020261187
5.461,10080.598137995454
5.46,10080.668574700812
5.4590000000000005,10080.739011406173
5.458,10080.809448111531
5.457,10080.87988481689
5.456,10080.95032152225
5.455,10081.025700557739
5.454,10081.10904758441
5.453,10081.19328721433
5.452,10081.28779540093
5.4510000000000005,10081.382303587528
5.45,10081.477161843994
5.449,10081.585230981756
5.448,10081.696318547087
5.447,10081.815116823756
5.446,10081.950366183846
5.445,10082.085667738365
5.444,10082.220969292885
5.4430000000000005,10082.356270847404
5.442,10082.491572401921
5.441,10082.635327181213
5.44,10082.785642283647
5.439,10082.947126574689
5.438,10083.108610865731
5.437,10083.270475930476
5.436,10083.432340995221
5.4350000000000005,10083.612294420785
5.434,10083.79668122374
5.433,10083.981592908818
5.432,10084.174913179682
5.431,10084.375154481948
5.43,10084.575395784212
5.429,10084.775637086475
5.428,10084.975878388741
5.4270000000000005,10085.176119691005
5.426,10085.376360993268
5.425,10085.576602295532
5.424,10085.776843597796
5.423,10085.982699150973
5.422,10086.18855470415
5.421,10086.394410257324
5.42,10086.6002658105
5.4190000000000005,10086.81106329211
5.418,10087.024774379095
5.417,10087.25910909751
5.416,10087.493443815925
5.415,10087.728192704843
5.414,10087.962941593762
5.413,10088.202567440334
5.412,10088.443032255149
5.4110000000000005,10088.703987970757
5.41,10088.970164364673
5.409,10089.238341576332
5.408,10089.507693415011
5.407,10089.782607275507
5.406,10090.065204959292
5.405,10090.347802643078
5.404,10090.630400326863
5.4030000000000005,10090.92800230376
5.402,10091.239441400232
5.401,10091.55301609255
5.4,10091.867041281332
5.399,10092.181066470115
5.398,10092.495091658897
5.397,10092.821555918834
5.396,10093.152925007616
5.3950000000000005,10093.498576902179
5.394,10093.851519571166
5.393,10094.207562878395
5.392,10094.563606185624
5.391,10094.919649492851
5.39,10095.275692800078
5.389,10095.631736107305
5.388,10095.987779414532
5.3870000000000005,10096.343822721761
5.386,10096.699866028988
5.385,10097.057125905838
5.384,10097.41926669789
5.383,10097.783518917313
5.382,10098.149589610746
5.381,10098.515660304181
5.38,10098.90907589229
5.3790000000000004,10099.30884051775
5.378,10099.7090951517
5.377,10100.109349785651
5.376,10100.509604419603
5.375,10100.909859053554
5.3740000000000006,10101.319298067045
5.373,10101.741495209335
5.372,10102.17520010842
5.371,10102.615399030561
5.37,10103.064790211398
5.369,10103.521655143728
5.368,10103.978520076058
5.367,10104.435385008386
5.3660000000000005,10104.898671361858
5.365,10105.362775372847
5.364,10105.840655441625
5.363,10106.334130086136
5.362,10106.827644169209
5.361,10107.32169123831
5.36,10107.815738307414
5.359,10108.309785376518
5.3580000000000005,10108.80833955796
5.357,10109.307594493119
5.356,10109.828038465805
5.355,10110.35131751558
5.354,10110.878530861663
5.353,10111.418298126082
5.352,10111.958065390501
5.351,10112.49783265492
5.3500000000000005,10113.03759991934
5.349,10113.57736718376
5.348,10114.117134448177
5.347,10114.656901712597
5.346,10115.196668977016
5.345,10115.741864771699
5.344,10116.297487300659
5.343,10116.853109829619
5.3420000000000005,10117.423171229726
5.341,10117.999319806768
5.34,10118.579894344402
5.339,10119.16725348648
5.338,10119.762739580461
5.337,10120.358805407475
5.336,10120.954871234488
5.335,10121.550937061502
5.3340000000000005,10122.147002888516
5.333,10122.756629666694
5.332,10123.380803174545
5.331,10124.007132825001
5.33,10124.645781172667
5.329,10125.301172480142
